Rank,Operator,Total TEU,Total Ships,Owned TEU,Owned Ships,Chartered TEU,Chartered Ships,% Chartered,Orderbook TEU,Orderbook Ships,% Existing
58,MTT Shipping,15378.0,16.0,14212.0,15.0,1166.0,1.0,7.58,0.0,0.0,0.0
59,Transworld Group Singapore,15300.0,12.0,15300.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Peel Ports (BG Freight),15096.0,15.0,0.0,0.0,15096.0,15.0,100.0,0.0,0.0,0.0
61,Taicang Container Lines,14993.0,12.0,4369.0,4.0,10624.0,8.0,70.86,12024.0,4.0,80.2
62,Pan Ocean (Container),13738.0,11.0,10995.0,8.0,2743.0,3.0,19.97,0.0,0.0,0.0
63,Caribbean Feeder Services,13491.0,12.0,0.0,0.0,13491.0,12.0,100.0,0.0,0.0,0.0
64,Shipping Corp. of India,13434.0,2.0,4400.0,1.0,9034.0,1.0,67.25,0.0,0.0,0.0
65,Pasha Hawaii Transport Lines,12903.0,6.0,12903.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Boluda Lines,12873.0,16.0,7072.0,9.0,5801.0,7.0,45.06,0.0,0.0,0.0
67,Hai An Transport,12765.0,9.0,12765.0,9.0,0.0,0.0,0.0,6012.0,2.0,47.1
68,Bengal Tiger Line,12713.0,7.0,0.0,0.0,12713.0,7.0,100.0,0.0,0.0,0.0
69,Cool Carriers,12587.0,36.0,3424.0,12.0,9163.0,24.0,72.8,0.0,0.0,0.0
70,Independent Container Line,12398.0,4.0,6182.0,2.0,6216.0,2.0,50.14,0.0,0.0,0.0
71,Eimskip,12244.0,14.0,5174.0,7.0,7070.0,7.0,57.74,4560.0,2.0,37.24
72,HR Lines,11932.0,8.0,11932.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
73,OVP Shipping,11835.0,7.0,1562.0,1.0,10273.0,6.0,86.8,8700.0,2.0,73.51
74,Qatar Navigation (Milaha),10939.0,7.0,8615.0,5.0,2324.0,2.0,21.25,0.0,0.0,0.0
75,M-Line,10834.0,5.0,0.0,0.0,10834.0,5.0,100.0,0.0,0.0,0.0
76,Philippine Span Asia Carrier Corp.,10819.0,18.0,9602.0,16.0,1217.0,2.0,11.25,800.0,2.0,7.39
77,Samskip,10716.0,20.0,4182.0,7.0,6534.0,13.0,60.97,1460.0,2.0,13.62
78,Sea Express Shipping Lines,10611.0,8.0,2668.0,2.0,7943.0,6.0,74.86,0.0,0.0,0.0
79,Neptune Pacific Direct Line,10418.0,10.0,9800.0,9.0,618.0,1.0,5.93,0.0,0.0,0.0
80,Folk Maritime,10232.0,7.0,7567.0,5.0,2665.0,2.0,26.05,0.0,0.0,0.0
81,Borchard Lines,10161.0,11.0,0.0,0.0,10161.0,11.0,100.0,0.0,0.0,0.0
82,Safetrans Shipping,9877.0,4.0,0.0,0.0,9877.0,4.0,100.0,0.0,0.0,0.0
83,Dalian Jifa Bohai Rim Container L.,9802.0,14.0,3140.0,4.0,6662.0,10.0,67.97,0.0,0.0,0.0
84,King Ocean,9713.0,14.0,0.0,0.0,9713.0,14.0,100.0,0.0,0.0,0.0
85,Imoto Lines,9295.0,31.0,7423.0,24.0,1872.0,7.0,20.14,200.0,1.0,2.15
86,Dalian Trawind Marine Co,9272.0,2.0,9272.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
87,EAS Datong,8729.0,7.0,7415.0,5.0,1314.0,2.0,15.05,0.0,0.0,0.0
88,Pan Continental Shg,8686.0,8.0,6856.0,6.0,1830.0,2.0,21.07,0.0,0.0,0.0
89,Transit LLC,8342.0,8.0,6842.0,7.0,1500.0,1.0,17.98,0.0,0.0,0.0
90,Harbour-Link Group Bhd,8340.0,11.0,8340.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Sidra Line,8049.0,8.0,0.0,0.0,8049.0,8.0,100.0,0.0,0.0,0.0
92,Del Monte Fresh Produce Co,7996.0,8.0,7996.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Oceanic Cargo Lines,7886.0,16.0,7886.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Tarros,7742.0,6.0,0.0,0.0,7742.0,6.0,100.0,0.0,0.0,0.0
95,CStar Line,7525.0,5.0,0.0,0.0,7525.0,5.0,100.0,0.0,0.0,0.0
96,Vistar Shipping LLC,7432.0,4.0,7432.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
97,STF Shipping,7356.0,4.0,0.0,0.0,7356.0,4.0,100.0,0.0,0.0,0.0
98,Guangxi Hongxiang Shipping Co,7249.0,14.0,7249.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Marsa Ocean Shipping,7113.0,5.0,7113.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
100,GS Lines,7104.0,8.0,6730.0,7.0,374.0,1.0,5.26,0.0,0.0,0.0
